,Unnamed: 0,enter_time,exit_time,RFID,num_enter
0,0,10:56:00,10:56:24,CD3E,1.0
1,1,10:56:34,11:03:59,CD3E,2.0
2,2,11:07:41,11:13:28,CAFE,1.0
3,3,11:15:38,11:18:47,CAFE,2.0
4,4,11:18:56,11:19:37,EEAE,1.0
5,5,11:19:46,11:20:11,EE5E,1.0
6,6,11:21:21,11:22:29,CAFE,3.0
7,7,11:23:33,11:28:36,EE5E,2.0
8,8,11:29:24,11:31:44,CD3E,3.0
9,9,11:33:17,11:39:09,EACE,1.0
10,10,11:40:06,11:42:23,EEAE,2.0
11,11,11:43:30,11:45:06,CAFE,4.0
12,12,11:45:50,11:49:02,EE5E,3.0
13,13,11:49:11,11:51:40,EACE,2.0
14,14,11:51:50,11:53:36,CAFE,5.0
15,15,11:53:44,11:58:16,EACE,3.0
16,16,11:58:27,11:59:28,EEAE,3.0
17,17,11:59:49,12:01:41,EE5E,4.0
18,18,12:03:01,12:07:58,CAFE,6.0
19,19,12:08:51,12:09:38,EE5E,5.0
20,20,12:10:10,12:10:56,CAFE,7.0
21,21,12:12:14,12:14:07,CAFE,8.0
22,22,12:17:57,12:18:58,CAFE,9.0
23,23,12:20:29,12:20:49,EE5E,6.0
24,24,12:22:01,12:23:10,EACE,4.0
25,25,12:25:09,12:27:00,CD3E,4.0
26,26,12:27:24,12:27:52,EE5E,7.0
27,27,12:28:10,12:28:37,EE5E,8.0
28,28,12:28:44,12:29:21,EE5E,9.0
29,29,12:29:25,12:30:28,CD3E,5.0
30,30,12:37:07,12:38:29,CAFE,10.0
31,31,12:40:16,12:44:09,EE5E,10.0
32,32,12:45:25,12:45:31,EEAE,4.0
33,33,12:46:21,12:47:27,EEAE,5.0
34,34,12:47:35,12:51:56,CAFE,11.0
35,35,12:52:04,12:58:27,CD3E,6.0
36,36,12:59:42,13:00:11,CAFE,12.0
37,37,13:03:21,13:04:11,EE5E,11.0
38,38,13:06:05,13:11:56,CAFE,13.0
39,39,13:19:48,13:21:07,CAFE,14.0
40,40,13:21:17,13:22:06,CD3E,7.0
41,41,13:22:32,13:23:58,CAFE,15.0
42,42,13:24:21,13:25:38,CD3E,8.0
43,43,13:27:00,13:32:06,CAFE,16.0
