,Unnamed: 0.1,Unnamed: 0,training day,DoB,exp_date,exp_name,mice_id,gender,total_trial,time_stim_begin,num_stim,num_enter,contrast,distance,comment,num_exp,exp_starttime,timestamp,latency_to_maxSpeed,fled_allover_duration,mean_speed,max_instance_speed2safezone,max_instance_speed2water,max_instance_speed_before,mean_speed_before,speed_var_before,pause_times_before,coefficiency_speed,index_max_frequency,duration_high_speed,longest_immobile_duration,first_immobile_start,total_immobile_duration,x_loc_looming,x_loc_off,x_loc_end,x_loc_exit,x_loc_distance_duration_high_speed,x_loc_fled_end,exit_idx,enter_idx,trial_end_idx,back_to_track_idx,duration_reward,furthest_loc,furthest_idx,nearest_back_loc,nearest_back_idx,furthest_loc_after_esc,nearest_back_loc_after_esc,reach_safe_idx,neck_nose_angle_at_looming,tailbase_nose_angle_at_looming,x_loc_immobile,max_speedS,nPeriodS,speed_fold,escape_distance,escape_max_acc,escape_acc_var,nPeriodW,durationsM,sum_duration_lsM,latency_to_first_escape,back_idx_after_flee,fastest_escape_start,freeze_start,first_freeze_duration,freeze_end,duration_between_escape_and_freeze,binary_occasion,trial_recheck,idm_id,trial_index,manual_label,stim_omit,unsure,comment_y,isDefensive,whichDecision_new,ignore_probability,escape_probability,freeze_probability,freeze_escape_probability,x_loc_off_to_sz,x_loc_end_to_sz,x_loc_exit_to_sz,x_loc_change,distance_under_threat,distance_fled_new,exit_time_after_looming,end_time_after_looming,reach_safe_time_after_looming,escape_to_reach_safe_time,decision_latency,first_decision,decision_latency_new,condition,risk,reward,decision_corrected,decision_score,up_attention_bouts,drinking,change_trial,phase,speed_explore_25-50_mean,speed_explore_25-50_skewness,speed_explore_25-50_kurtosis,speed_explore_25-100_mean,speed_explore_25-100_skewness,speed_explore_25-100_kurtosis
0,0,4360,day4,20240511,20240719,test,idm38_9433,male,1,9:35:59,1,1,0.25,0.197050672,actually day3,0,,2024_07_19_09_35_59_129765,2.9,2.933333333,16.83517898,41.21817545,23.69515499,-34.83133575,-13.17555944,138.2228592,0,0.728139736,0,0.733333333,0.033333333,0.633333333,0.033333333,18.33184814,118.7238795,118.7238795,118.7238795,28.0237668,109.3753037,480,73,480,-2,1.433333333,118.7238795,479,118.7238795,479,109.8177131,109.8177131,420,-176.9212291,-177.6454188,11.67527589,32.3627256,1,-1.311014792,95.86211713,-0.101575134,0.213858304,2,0.0,0.0,1.533333333,21.0,1.533333333,20.0,,,,0,1,idm38,idm38_1,3.0,,,,1.0,3.0,0.107021991,0.134383751,0.007278925,0.751315333,-18.72387954,-18.72387954,-18.72387954,100.3920314,100.3920314,91.04345557,6.0,6.0,4.0,2.466666667,1.533333333,1,20.0,sucrose_low,low,sucrose,3,2,0,,4,1,26.00830888,-1.238806611,1.062458474,27.155736497515495,0.2560935085613973,-0.8687389580973708
1,1,4361,day4,20240511,20240719,test,idm38_9433,male,2,9:39:29,2,3,0.25,0.197050672,actually day3,0,,2024_07_19_09_39_29_669994,8.533333333,2.3,9.020840104,54.00553629,6.413919608,-25.4794989,-8.493358408,128.1278325,0,1.708477771,0,0.8,1.566666667,0.3,3.2,21.33209552,38.76765616,119.0370822,119.0370822,40.61349139,110.2886752,630,3,630,-2,0.0,38.76765616,539,38.76765616,539,114.5662146,114.5662146,579,137.2428551,162.0379611,21.06738799,38.41242441,1,-2.168024545,89.57393451,-0.035825907,0.102409909,8,0.366666667,0.366666667,7.466666667,21.0,7.466666667,6.0,0.366666667,6.366666667,1.1,1,2,idm38,idm38_2,3.0,,,,1.0,3.0,0.194623813,0.015471151,0.040552372,0.749352663,61.23234384,-19.03708218,-19.03708218,97.70498665,17.43556064,88.95657972,11.0,11.0,9.3,1.833333333,6.0,2,6.0,sucrose_low,low,sucrose,3,2,1,,4,1,11.95729354,0.162651526,-0.411607901,14.021779441327567,-0.12150216069574478,-0.6494762146681383
2,2,4362,day4,20240511,20240719,test,idm38_9433,male,3,9:41:50,3,5,0.25,0.197050672,actually day3,0,,2024_07_19_09_41_50_242409,7.7,2.2,-0.01036905,60.27670924,33.84312669,-39.48368997,-10.53663976,84.22358123,1,1.45453939,1,0.4,3.533333333,0.433333333,6.066666667,19.38088382,48.88320526,110.9829011,21.41516189,20.59301823,110.2101015,900,12,594,697,0.0,48.88320526,539,21.41516189,899,111.6193751,21.41516189,570,-168.8450151,-172.8864245,17.32807595,41.83636821,1,-2.098244245,92.76283317,-0.087214097,0.189185358,6,3.533333333,5.9,7.333333333,21.0,7.333333333,0.433333333,3.533333333,6.9,0.433333333,1,3,idm38,idm38_3,3.0,,,,1.0,3.0,0.139001091,0.002620699,0.12893517,0.72944304,51.11679474,-10.98290109,78.58483811,91.60201727,29.50232144,90.82921764,20.0,9.8,9.0,1.666666667,0.433333333,2,0.433333333,sucrose_low,low,sucrose,3,2,4,,4,1,6.305565808,0.485691939,-0.824370194,11.824933913144445,1.1400616838654734,0.9166288753590406
3,3,4363,day4,20240511,20240719,test,idm38_9433,male,4,9:43:35,4,6,0.25,0.071653808,actually day3,0,,2024_07_19_09_43_35_829836,9.766666667,2.266666667,0.217110692,51.94456075,34.8817236,-41.14831149,-6.899895918,86.10780818,1,1.488134871,2,0.866666667,0.466666667,0.0,1.366666667,9.227171475,9.2419007,14.50155135,14.50155135,42.26487258,85.29563228,900,0,900,-1,10.9,9.53573066,526,8.615416185,576,87.47377269,13.82740011,900,-138.557346,-153.5371528,9.145934249,33.32053287,1,-1.608009141,76.49903501,-0.04774783,0.148668702,6,0.0,0.0,9.266666667,21.0,9.266666667,20.0,,,,1,4,idm38,idm38_4,0.0,,,,0.0,0.0,0.71399048,0.00123913,0.048714424,0.236055966,90.7580993,85.49844865,85.49844865,5.274379875,0.014729224,76.0684608,20.0,20.0,20.0,10.73333333,9.266666667,1,,sucrose_low,low,sucrose,0,0,4,,4,2,9.765587212,2.242394593,5.789857689,12.42342313773211,1.4252571005567236,1.246044672223161
4,4,4364,day4,20240511,20240719,test,idm38_9433,male,5,9:45:50,5,8,0.25,0.188093753,actually day3,0,,2024_07_19_09_45_50_245671,13.63333333,3.2,4.481913565,61.94625074,14.27554921,-51.22707522,-14.52470638,213.859409,1,1.832612739,1,0.466666667,0.366666667,0.233333333,1.233333333,20.13739953,7.322670934,110.6888301,111.0856487,26.52169824,100.962607,900,92,814,-2,11.83333333,20.29460278,308,6.218771694,548,96.23241864,96.23241864,773,153.2326369,169.3921316,8.311669711,35.98679148,3,-1.008869224,76.28698341,-0.008460654,0.207249853,10,0.366666667,0.366666667,12.63333333,21.0,12.63333333,8.833333333,0.366666667,9.2,3.433333333,1,5,idm38,idm38_5,0.0,,,,0.0,0.0,0.839558003,0.000333333,0.060138694,0.09996997,92.67732907,-10.68883015,-11.08564868,90.55143062,-12.81472859,80.82520745,20.0,17.13333333,15.76666667,3.133333333,8.833333333,2,,sucrose_low,low,sucrose,0,0,0,,4,2,11.63452756,0.659469736,-0.111063605,20.82176050646551,0.5983027897470136,-1.0913656357612387
5,5,4365,day4,20240511,20240719,test,idm38_9433,male,6,9:47:25,6,9,0.25,0.05373997,actually day3,0,,2024_07_19_09_47_25_977961,9.133333333,2.9,8.828698619,68.53902319,4.323545937,-27.52432699,-4.403897525,53.39797816,2,1.668812328,0,0.266666667,0.566666667,1.666666667,1.133333333,9.258933151,17.3332216,118.9737524,118.9737524,16.07373063,108.3663178,682,0,682,-2,7.933333333,17.3332216,539,17.3332216,539,108.862328,108.862328,605,-158.2630551,-151.6413205,8.568138548,35.20685633,1,-1.853419683,101.890145,-0.066714482,0.330962102,6,0.366666667,0.366666667,7.666666667,21.0,7.666666667,5.033333333,0.366666667,5.4,2.266666667,1,6,idm38,idm38_6,3.0,,,,1.0,3.0,0.227128327,0.009930823,0.070958882,0.691981968,82.6667784,-18.9737524,-18.9737524,109.7148192,8.074288447,99.10738464,12.73333333,12.73333333,10.16666667,2.5,5.033333333,2,5.033333333,sucrose_low,low,sucrose,3,2,2,,4,2,14.93985298,-0.051234462,-0.950697079,13.425647381134748,0.11385780490763867,-0.9121172888885609
6,6,4366,day4,20240511,20240719,test,idm38_9433,male,7,9:49:32,7,11,0.25,0.197050672,actually day3,0,,2024_07_19_09_49_32_867279,5.2,13.4,4.814158801,61.58409331,24.99496589,-41.63415369,-14.46354983,162.2732551,1,1.260384798,2,0.233333333,0.7,1.666666667,1.333333333,19.39956139,100.4122719,101.402902,111.0656598,12.73156738,107.6890251,900,87,521,531,2.8,101.4153253,527,90.69750199,743,81.45494926,81.45494926,506,142.1015015,149.7661924,110.703985,29.90213661,4,-1.054304007,66.57176925,-0.026788253,0.166827956,8,0.0,0.0,2.9,21.0,4.4,20.0,,,,0,7,idm38,idm38_7,3.0,,,,1.0,3.0,0.303166704,0.015120026,0.019470248,0.662243021,-0.41227192,-1.402901971,-11.0656598,82.00334058,81.01271053,88.28946368,20.0,7.366666667,6.866666667,3.966666667,2.9,1,20.0,sucrose_low,low,sucrose,3,2,2,,4,2,22.87240325,-0.495046362,-1.215213558,19.460253440268293,-0.12739368633813633,-1.4192708645834258
7,7,4367,day4,20240511,20240719,test,idm38_9433,male,8,9:51:40,8,13,0.25,0.138830699,actually day3,0,,2024_07_19_09_51_40_063426,19.96666667,,-0.613023248,7.56879583,15.23946317,-53.38480399,-15.42866029,275.8710751,1,1.305634176,7,0.033333333,0.566666667,0.7,2.733333333,12.73948204,7.505262542,5.389208469,5.389208469,0.0,,900,87,900,-1,20.0,12.73948204,300,5.389208469,899,,,900,-167.3724283,-175.7208148,8.278313999,0.0,0,,0.0,0.0,,0,0.0,0.0,20.0,-0.033333333,20.0,20.0,,,,0,8,idm38,idm38_8,0.0,,,,0.0,0.0,0.577905699,0.0,0.413355416,0.008738884,92.49473746,94.61079153,94.61079153,-7.350273571,-5.234219498,,20.0,20.0,20.0,0.0,20.0,2,,sucrose_low,low,sucrose,0,0,0,,4,2,37.81298176,-0.462701498,-1.250040557,38.08223514527228,-0.26305652698847753,-1.6727844668112262
8,8,4368,day4,20240511,20240719,test,idm38_9433,male,9,9:53:39,9,14,0.25,0.062696889,actually day3,0,,2024_07_19_09_53_39_440627,3.933333333,15.93333333,5.954861071,44.8512798,17.03574555,-9.048367883,-1.612572826,6.118197529,4,1.218772893,0,0.566666667,0.3,0.633333333,0.966666667,9.153209656,113.1744518,113.7913019,118.0138405,22.99919958,111.858638,877,0,550,689,2.933333333,113.1744518,539,93.12553167,824,84.2233822,83.37774772,503,-160.8225238,-152.7282267,9.014879384,29.62216054,4,,73.4374617,0.020601984,0.030850544,0,0.0,0.0,2.633333333,21.0,2.633333333,20.0,,,,0,9,idm38,idm38_9,3.0,,,,1.0,3.0,0.090964647,0.034548873,0.010114521,0.864371959,-13.17445175,-13.79130186,-18.01384046,104.6380922,104.0212421,102.7054284,19.23333333,8.333333333,6.766666667,4.133333333,2.633333333,1,20.0,sucrose_low,low,sucrose,3,2,1,,4,2,,,,,,
9,9,4369,day4,20240511,20240719,test,idm38_9433,male,10,9:55:41,10,16,0.25,0.197050672,actually day3,0,,2024_07_19_09_55_41_632165,8.466666667,3.7,4.456180143,53.23527692,15.85892911,-45.13451922,-9.034779416,179.7361039,1,1.833213438,1,0.333333333,1.3,0.533333333,5.533333333,19.14403309,42.47386238,111.1961039,111.1486266,15.88783098,109.7753045,900,0,620,-2,5.566666667,42.47386238,539,42.47386238,539,90.74420797,90.74420797,589,145.7081982,166.317996,111.1226894,33.1710982,2,-1.086117586,88.56365141,-0.064567764,0.293898543,10,0.0,0.0,6.3,21.0,7.333333333,20.0,,,,1,10,idm38,idm38_10,3.0,,,,1.0,3.0,0.22882617,0.017119996,0.072670545,0.681383289,57.52613762,-11.19610385,-11.1486266,92.05207076,23.32982929,90.6312714,20.0,10.66666667,9.633333333,3.333333333,6.3,1,20.0,sucrose_low,low,sucrose,3,2,2,,4,2,11.05794199,1.29525177,0.109662381,15.621147323380903,0.7374288458307036,-0.8616725772819964
