Unnamed: 0.1,Unnamed: 0,training day,DoB,exp_date,exp_name,mice_id,gender,total_trial,time_stim_begin,num_stim,num_enter,contrast,distance,comment,num_exp,exp_starttime,timestamp,latency_to_maxSpeed,fled_allover_duration,mean_speed,max_instance_speed2safezone,max_instance_speed2water,max_instance_speed_before,mean_speed_before,speed_var_before,pause_times_before,coefficiency_speed,index_max_frequency,duration_high_speed,longest_immobile_duration,first_immobile_start,total_immobile_duration,x_loc_looming,x_loc_off,x_loc_end,x_loc_exit,x_loc_distance_duration_high_speed,x_loc_fled_end,exit_idx,enter_idx,trial_end_idx,back_to_track_idx,duration_reward,furthest_loc,furthest_idx,nearest_back_loc,nearest_back_idx,furthest_loc_after_esc,nearest_back_loc_after_esc,reach_safe_idx,neck_nose_angle_at_looming,tailbase_nose_angle_at_looming,x_loc_immobile,max_speedS,nPeriodS,speed_fold,escape_distance,escape_max_acc,escape_acc_var,nPeriodW,durationsM,sum_duration_lsM,latency_to_first_escape,back_idx_after_flee,fastest_escape_start,freeze_start,first_freeze_duration,freeze_end,duration_between_escape_and_freeze,binary_occasion,trial_recheck,idm_id,trial_index,manual_label,stim_omit,unsure,comment_y,isDefensive,whichDecision_new,ignore_probability,escape_probability,freeze_probability,freeze_escape_probability,x_loc_off_to_sz,x_loc_end_to_sz,x_loc_exit_to_sz,x_loc_change,distance_under_threat,distance_fled_new,exit_time_after_looming,end_time_after_looming,reach_safe_time_after_looming,escape_to_reach_safe_time,decision_latency,first_decision,decision_latency_new,social_rank,decision_corrected,decision_score,speed_explore_25-50_mean,speed_explore_25-50_skewness,speed_explore_25-50_kurtosis,change_trial,phase,pair_trial,speed_explore_25-100_mean,speed_explore_25-100_skewness,speed_explore_25-100_kurtosis,time_shift,foraging_interval
0,2116,day4,20230830,20231125,test,idm25_8033,male,4,11:39:26,1.0,2.0,1.0,0.188093753,,0,11:33:12,2023_11_25_11_39_26_262778,0.9333333333333332,1.2333333333333334,3.6532943335752446,121.5927191486325,38.73314992874843,-71.48433087864917,-26.42779623943237,646.2163541875246,0.0,2.9263379570143444,3,0.4,2.2,2.1,6.4,15.203312719532288,116.05236784026856,112.40188525779178,93.7817264088058,43.726410694611374,112.14183469413128,900,179,377,871,0.5333333333333333,116.08546864638596,531,93.7817264088058,899,112.40453259698276,93.7817264088058,341.0,177.2386034171535,176.57373374476285,112.397350847563,79.44702357160583,1,-1.689198227522936,101.72977405011812,-0.1788445898082223,0.595775752714444,2,0.0,0.0,0.4333333333333333,21.0,0.4333333333333333,20.0,,,,0,4,idm25,idm25_4,1.0,,,,1.0,1.0,0.0,0.9411347044426804,0.0001612903225806,0.0587040052347391,-16.052367840268573,-12.401885257791774,6.21827359119419,97.1985725382595,100.8490551207363,96.938521974599,20.0,2.566666666666667,1.3666666666666667,0.9333333333333332,0.4333333333333333,1,0.4333333333333333,dom,1.0,3,44.99458348938931,0.0519448070482673,-1.865313865931352,5.0,1,idm25_1.0,54.47455342577772,0.1121261849174606,-1.3804065344731045,24,
1,2117,day4,20230830,20231125,test,idm25_8033,male,5,11:41:04,2.0,2.0,1.0,0.197050672,,0,11:33:12,2023_11_25_11_41_04_325872,0.9333333333333332,1.2666666666666666,4.524778105112347,122.6539913510247,22.01761911898148,-31.84991787436587,0.9131570201922902,241.8170327166825,2.0,3.93919542152549,0,0.2666666666666666,18.03333333333333,1.9666666666666663,18.03333333333333,18.674713215714107,113.36530690484084,113.33782198068634,113.42045548740052,28.880424236429143,109.20500559515916,900,0,356,-2,0.2,113.38546631506964,377,113.34014941147215,619,113.38546631506964,113.34014941147215,337.0,147.02769870896165,158.37251617505325,113.42045548740052,69.13094345124965,1,-2.7945932246746907,95.993158031838,-0.09660663802533,0.6621337925900094,4,0.0,0.0,0.2,21.0,0.2,20.0,,,,0,5,idm25,idm25_5,1.0,,,,1.0,1.0,0.0,0.987839147453192,0.0054112903225806,0.0067495622242277,-13.36530690484085,-13.337821980686345,-13.420455487400533,94.66310876497224,94.69059368912674,90.53029237944506,20.0,1.8666666666666667,1.2333333333333334,1.0333333333333334,0.2,1,0.2,dom,1.0,3,12.145568050253289,0.3104870355789163,-1.852908028228355,5.0,1,idm25_2.0,10.63214183777018,0.5672523219703175,-1.431946020621407,24,7.7444444444444445
2,2120,day4,20230830,20231125,test,idm25_8033,male,8,11:45:54,3.0,3.0,1.0,0.192572212,,0,11:33:12,2023_11_25_11_45_54_655565,0.9333333333333332,1.4333333333333331,14.028129508746224,120.66295881382602,27.752852126004747,-32.509820187863106,-7.287597992506071,119.54255839984948,1.0,1.999995556528384,0,0.3333333333333333,0.6666666666666666,2.1,1.1,18.86404329901981,114.96847542274536,112.94108893194633,114.96847542274536,36.32284699700556,110.19540963817973,505,0,365,-2,0.3,114.96847542274536,504,114.96847542274536,504,113.1543007605272,112.7332481971154,339.0,-172.05626703429178,-176.49671320538886,112.91844407949272,64.84897504421953,1,-2.592194766131425,98.97791430728822,-0.1400484680062771,0.8553125479061457,8,0.0,0.0,0.2,21.0,0.2,20.0,,,,0,8,idm25,idm25_8,1.0,,,,1.0,1.0,0.0,0.992324736425623,0.0001612903225806,0.0075139732517966,-14.968475422745358,-12.941088931946322,-14.968475422745358,94.07704563292651,96.10443212372556,91.3313663391599,6.833333333333333,2.1666666666666665,1.3,1.1,0.2,1,0.2,dom,1.0,3,7.610872459050246,0.4475179073210769,-1.3654255705559688,5.0,1,idm25_3.0,11.097696326147076,0.6585849898744056,-0.7993249433424912,24,43.85333333333333
3,2121,day4,20230830,20231125,test,idm25_8033,male,9,11:48:00,4.0,4.0,1.0,0.197050672,,0,11:33:12,2023_11_25_11_48_00_167691,1.0,1.2666666666666666,4.71295921686818,120.99244113323952,20.02708584343242,-71.53478411253569,-14.816733491117647,311.14715363089755,1.0,3.624249797159243,3,0.3,2.1666666666666665,2.2333333333333334,9.3,18.71639197068758,114.84276437126992,114.76316416611408,114.89276592548076,32.70893844251788,110.46007620813994,900,83,363,-2,0.1333333333333333,114.9986672641744,492,114.82733623798076,538,114.76507584549071,114.7027908446618,336.0,175.66372750199068,176.38555462080808,114.72697825140916,71.62497207272574,1,-2.3132044159236385,97.23787138084732,-0.3831228919135098,1.578715543340367,6,0.0,0.0,0.1333333333333333,21.0,0.1333333333333333,20.0,,,,0,9,idm25,idm25_9,1.0,,,,1.0,1.0,0.0023665865384615,0.9176886590527036,0.0004112903225806,0.0795334640862546,-14.8427643712699,-14.76316416611406,-14.89276592548077,96.04677219542648,96.12637240058233,91.74368423745234,20.0,2.1,1.2,1.0666666666666669,0.1333333333333333,1,0.1333333333333333,dom,1.0,3,20.05425138290484,0.1089993898089324,-0.7658075970930045,5.0,1,idm25_4.0,22.631572216959736,0.7374031613310768,-0.709564241717227,24,58.36666666666667
4,2122,day4,20230830,20231125,test,idm25_8033,male,10,11:49:35,5.0,4.0,1.0,0.049261511,,0,11:33:12,2023_11_25_11_49_35_698314,0.8333333333333334,1.4,5.532585276599611,139.13563230273877,2.766799949996148,-5.7291745974195845,-0.2942406203842706,0.7895306488468962,1.0,3.8482878525975774,0,0.2666666666666666,7.0,2.1666666666666665,15.033333333333331,6.784098415222977,116.03160487814988,115.02901582186676,115.87542870316643,33.108947851044434,112.95437613975464,900,0,360,-2,0.4666666666666667,116.12865239555704,528,115.81094967465184,620,115.03759506589856,114.8429625331565,336.0,119.6596888053176,112.76218807302138,115.91156022049071,74.83670188551585,1,,106.86745125039504,-0.0487646933215137,0.7914688012940064,0,0.0,0.0,0.2,21.0,0.2,20.0,,,,0,10,idm25,idm25_10,1.0,,,,1.0,1.0,0.0,0.9972558141198588,0.0001612903225806,0.002582895557561,-16.031604878149878,-15.029015821866745,-15.875428703166447,108.24491740664376,109.24750646292688,106.17027772453166,20.0,2.0,1.2,1.0,0.2,1,0.2,dom,1.0,3,3.23604043409109,4.883312774503412e-15,-2.0,5.0,2,idm25_5.0,4.061059591127817,0.2059358838272994,-0.9383931049046872,24,37.7
5,2123,day4,20230830,20231125,test,idm25_8033,male,11,11:51:42,6.0,4.0,1.0,0.031347673,,0,11:33:12,2023_11_25_11_51_42_800830,0.7333333333333333,1.0666666666666669,5.65810642489834,152.36770207720866,1.1793611916042022,-1.3046383733323077,0.0425442034624417,0.1908470557122391,3.0,4.142180167583939,0,0.3,4.433333333333334,2.0,13.8,3.430879628310469,116.24403312541448,116.23405897712202,116.41259851970048,41.12668065240592,109.57619259781168,900,0,359,-2,0.3666666666666666,116.38796082352457,489,116.13688194214193,517,116.23767769811008,116.09365933769894,330.0,100.72456558178725,71.09447411722904,116.21046864638596,95.3906389722509,1,,107.37381916400297,-0.407058478236329,1.1348212418864203,0,0.0,0.0,0.1,21.0,0.1,20.0,,,,0,11,idm25,idm25_11,1.0,,,,1.0,1.0,0.0,0.8967704524665865,0.0001612903225806,0.1030682572108332,-16.244033125414468,-16.234058977122007,-16.412598519700477,112.80317934881154,112.813153497104,106.1453129695012,20.0,1.9666666666666663,1.0,0.9,0.1,1,0.1,dom,1.0,3,0.0066150042799922,-2.502103855457608e-16,-2.0,5.0,2,idm25_6.0,0.0238031387815788,-5.258013532077562e-15,-1.2000000000000082,24,46.38333333333333
6,2125,day4,20230830,20231125,test,idm25_8033,male,13,11:57:13,7.0,5.0,1.0,0.197050672,,0,11:33:12,2023_11_25_11_57_13_967788,0.6666666666666666,1.4666666666666666,4.623393534140676,110.93362258556364,6.0938923084365655,-18.18487038096845,-6.036997848012758,11.547803504161498,1.0,3.519572678969788,1,0.3333333333333333,2.2666666666666666,2.4,7.2,21.305598656125667,116.54821291652851,116.11813168310675,113.31874965461982,33.21546349158654,113.28501378066976,900,0,374,-2,0.0,117.1930550087036,450,113.31874965461982,899,116.12387449229116,113.31874965461982,334.0,153.08855647433074,156.7207952959852,116.007578073193,61.85077735569224,1,-4.097977057984691,92.73417457155588,-0.0901524676744954,0.5707347824149445,4,0.0,0.0,0.2,21.0,0.2,20.0,,,,0,13,idm25,idm25_13,1.0,,,,1.0,1.0,0.0,0.9975628316637184,0.0001612903225806,0.0022758780137014,-16.54821291652852,-16.118131683106764,-13.318749654619817,94.8125330269811,95.24261426040286,91.9794151245441,20.0,2.466666666666667,1.1333333333333333,0.9333333333333332,0.2,1,0.2,dom,1.0,3,4.523194245392935,-0.6289670262277408,-0.0381265816267415,5.0,2,idm25_7.0,6.061929597400193,1.0060828716850845,1.810689910387912,24,161.05
7,2126,day4,20230830,20231125,test,idm25_8033,male,14,12:03:32,8.0,6.0,1.0,0.197050672,,0,11:33:12,2023_11_25_12_03_32_185839,0.9666666666666668,1.0666666666666669,4.62220189187715,123.32685738166884,11.147814633119442,-15.873809031561754,-6.030683154728867,16.106192399093658,1.0,3.4023325504280946,1,0.2666666666666666,5.933333333333334,2.2666666666666666,11.233333333333333,22.703106219951923,116.25633729484416,116.10184096278182,115.5048487062058,29.32333187841926,108.97196570547358,900,0,384,-2,0.0,117.02522030939156,447,115.29015951384284,789,116.129112182941,115.29015951384284,338.0,-178.06641958309058,177.32397067672403,115.5048487062058,78.0336941072299,1,-5.758013760338089,87.17357099214345,-0.3033117390703071,0.7871799894354489,4,0.0,0.0,0.4,21.0,0.4,20.0,,,,0,14,idm25,idm25_14,1.0,,,,1.0,1.0,0.0,0.9270799762761104,0.0001612903225806,0.0727587334013093,-16.256337294844176,-16.10184096278182,-15.504848706205784,93.3987347428299,93.55323107489224,86.26885948552166,20.0,2.8,1.2666666666666666,0.8666666666666667,0.4,1,0.4,dom,1.0,3,5.286587686367634,-0.3729819979812273,-0.92995334132916,5.0,2,idm25_8.0,5.873619101525182,0.3856408110704165,-0.39248771578302,24,184.56666666666666
8,2128,day4,20230830,20231125,test,idm25_8033,male,16,12:08:38,9.0,7.0,1.0,0.062696889,,0,11:33:12,2023_11_25_12_08_38_376525,0.7666666666666667,1.4333333333333331,5.321885470686013,147.6370297528724,4.474877569438202,-0.5950661133196602,0.0202213632767621,0.1110786962143348,2.0,3.791308818447649,0,0.2333333333333333,2.5,0.0,7.2,8.088964730422123,116.2965317784317,114.74638257418768,115.66232048864389,29.66584915444453,113.62949296460545,900,0,363,-2,0.4333333333333333,116.42293704409816,468,115.2861898002321,879,116.07469666984416,114.6030713797248,334.0,96.1663484572258,131.3683595699023,116.29184065193968,70.70936084949199,1,,105.86864809395465,-0.0566653403018982,1.288717449367766,0,0.0,0.0,0.2333333333333333,21.0,0.2333333333333333,20.0,,,,0,16,idm25,idm25_16,1.0,,,,1.0,1.0,0.0,0.998089147453192,0.0001612903225806,0.0017495622242277,-16.29653177843169,-14.746382574187676,-15.662320488643877,106.65741784376556,108.20756704800957,105.54052823418333,20.0,2.1,1.1333333333333333,0.9,0.2333333333333333,1,0.2333333333333333,dom,1.0,3,,,,5.0,2,idm25_9.0,,,,24,141.73333333333332
9,2130,day4,20230830,20231125,test,idm25_8033,male,18,12:12:49,10.0,8.0,1.0,0.197050672,,0,11:33:12,2023_11_25_12_12_49_176478,0.8333333333333334,1.2,6.681808136316468,136.75940169241542,7.0155651883121495,-24.559478657595324,-9.622117191686794,39.863431713730414,0.0,3.096798614545756,1,0.2666666666666666,2.066666666666667,2.1666666666666665,3.633333333333333,21.56422404079286,115.77360457766908,116.1514021572447,116.3890079731018,33.13241690476314,113.66515951384282,726,0,369,-2,0.0,117.36742710750995,456,112.42288394189328,702,116.1715265977288,112.42288394189328,334.0,176.8427489593498,-176.5962930039246,116.1274504724801,74.8199830167682,1,-4.173034878028443,92.2228927814676,-0.2743579731346487,2.6138828910119494,4,0.0,0.0,0.3333333333333333,21.0,0.3333333333333333,20.0,,,,0,18,idm25,idm25_18,1.0,,,,1.0,1.0,0.0,0.993008103497148,0.0001612903225806,0.0068306061802716,-15.77360457766909,-16.151402157244707,-16.38900797310179,94.58717811645184,94.20938053687622,92.10093547304996,14.2,2.3,1.1333333333333333,0.8,0.3333333333333333,1,0.3333333333333333,dom,1.0,3,7.748880872043427,-0.5726262294743375,-0.0134820683339209,5.0,2,idm25_10.0,12.044782168307286,0.5205949988643105,-0.8501545003750164,24,120.88333333333334
