,reward,beta_low,beta_high
0,0.25,1,2.55
1,0.24,1,2.55
2,0.27,1,2.60
3,0.26,1,2.60
4,0.28,1,2.60
5,0.25,1,2.60
6,0.26,1,2.55
7,0.23,1,2.55
8,0.28,1,2.65
9,0.23,1,2.50
10,0.24,1,2.50
11,0.24,1,2.60
12,0.27,1,2.65
13,0.27,1,2.55
14,0.29,1,2.65
15,0.30,1,2.65
16,0.22,1,2.50
17,0.26,1,2.65
18,0.22,1,2.55
19,0.29,1,2.60
20,0.23,1,2.60
21,0.21,1,2.50
22,0.31,1,2.65
23,0.30,1,2.70
24,0.25,1,2.50
25,0.31,1,2.70
26,0.28,1,2.55
27,0.25,1,2.65
28,0.30,1,2.60
29,0.29,1,2.70
30,0.28,1,2.70
31,0.32,1,2.70
32,0.22,1,2.45
33,0.21,1,2.45
34,0.21,1,2.55
35,0.33,1,2.70
36,0.27,1,2.70
37,0.34,1,2.70
38,0.26,1,2.50
39,0.24,1,2.65
40,0.32,1,2.65
41,0.24,1,2.45
42,0.34,1,2.75
43,0.27,1,2.50
44,0.22,1,2.60
45,0.23,1,2.45
46,0.33,1,2.75
47,0.20,1,2.45
48,0.20,1,2.50
49,0.32,1,2.75
50,0.31,1,2.60
51,0.33,1,2.65
52,0.26,1,2.70
53,0.30,1,2.75
54,0.35,1,2.75
55,0.29,1,2.55
56,0.31,1,2.75
57,0.23,1,2.65
58,0.30,1,2.55
59,0.25,1,2.45
60,0.35,1,2.70
61,0.36,1,2.75
62,0.28,1,2.50
63,0.20,1,2.55
64,0.25,1,2.70
65,0.29,1,2.75
66,0.19,1,2.45
67,0.34,1,2.65
68,0.21,1,2.60
69,0.28,1,2.75
70,0.19,1,2.50
71,0.33,1,2.80
72,0.35,1,2.80
73,0.21,1,2.40
74,0.36,1,2.80
75,0.32,1,2.60
76,0.34,1,2.80
77,0.37,1,2.75
78,0.22,1,2.40
79,0.36,1,2.70
80,0.37,1,2.80
81,0.33,1,2.60
82,0.27,1,2.75
83,0.22,1,2.65
84,0.24,1,2.70
85,0.32,1,2.80
86,0.19,1,2.40
87,0.20,1,2.40
88,0.38,1,2.80
89,0.31,1,2.80
90,0.31,1,2.55
91,0.39,1,2.80
92,0.35,1,2.65
93,0.30,1,2.80
94,0.19,1,2.55
95,0.26,1,2.45
96,0.36,1,2.85
97,0.20,1,2.60
98,0.38,1,2.75
99,0.37,1,2.70
