,reward,beta_low,beta_high
0,0.08,1,1.80
1,0.09,1,1.80
2,0.09,1,1.85
3,0.07,1,1.80
4,0.08,1,1.85
5,0.07,1,1.75
6,0.08,1,1.75
7,0.07,1,1.85
8,0.09,1,1.90
9,0.09,1,1.75
10,0.10,1,1.85
11,0.06,1,1.75
12,0.07,1,1.70
13,0.08,1,1.90
14,0.06,1,1.80
15,0.10,1,1.80
16,0.08,1,1.70
17,0.10,1,1.90
18,0.06,1,1.70
19,0.06,1,1.85
20,0.11,1,1.85
21,0.10,1,1.75
22,0.07,1,1.90
23,0.09,1,1.70
24,0.11,1,1.90
25,0.09,1,1.95
26,0.11,1,1.80
27,0.08,1,1.65
28,0.07,1,1.65
29,0.10,1,1.95
30,0.06,1,1.65
31,0.05,1,1.75
32,0.11,1,1.95
33,0.09,1,1.65
34,0.11,1,1.75
35,0.12,1,1.85
36,0.12,1,1.90
37,0.05,1,1.80
38,0.06,1,1.90
39,0.05,1,1.70
40,0.10,1,1.70
41,0.07,1,1.60
42,0.12,1,1.95
43,0.08,1,1.95
44,0.12,1,1.80
45,0.06,1,1.60
46,0.05,1,1.65
47,0.08,1,1.60
48,0.05,1,1.85
49,0.04,1,1.75
50,0.11,1,1.70
51,0.04,1,1.70
52,0.10,1,1.65
53,0.09,1,1.60
54,0.13,1,1.90
55,0.11,1,2.00
56,0.04,1,1.80
57,0.12,1,1.75
58,0.07,1,1.55
59,0.13,1,1.85
60,0.13,1,1.95
61,0.03,1,1.70
62,0.04,1,1.65
63,0.12,1,2.00
64,0.03,1,1.75
65,0.06,1,1.55
66,0.08,1,1.55
67,0.05,1,1.60
68,0.13,1,1.80
69,0.03,1,1.65
70,0.07,1,1.95
71,0.10,1,1.60
72,0.03,1,1.80
73,0.12,1,1.70
74,0.04,1,1.85
75,0.09,1,1.55
76,0.11,1,1.65
77,0.04,1,1.60
78,0.13,1,2.00
79,0.09,1,2.00
80,0.08,1,1.50
81,0.07,1,1.50
82,0.05,1,1.90
83,0.03,1,1.60
84,0.10,1,2.00
85,0.05,1,1.55
86,0.13,1,1.75
87,0.06,1,1.50
88,0.09,1,1.50
89,0.14,1,1.90
90,0.10,1,1.55
91,0.07,1,1.45
92,0.14,1,1.95
93,0.02,1,1.70
94,0.12,1,1.65
95,0.11,1,1.60
96,0.04,1,1.55
97,0.06,1,1.95
98,0.03,1,1.85
99,0.08,1,1.45
