,mice_id,num_stim,condition,decision_score,duration_reward,max_instance_speed2safezone,distance_under_threat,latency_to_first_escape,latent1D,change_trial
40,idm38_8EF3,1,sucrose_low,2,0.0,79.65689325,92.23657809,6.4,104.79588049883981,4
41,idm38_8EF3,2,sucrose_low,0,10.53333333,32.39802322,-13.20374276,13.5,-7.186540934974973,4
42,idm38_8EF3,3,sucrose_low,0,11.83333333,27.35415435,-11.35606008,12.5,-9.000193958670673,4
43,idm38_8EF3,4,sucrose_low,0,19.8,2.532150509,-9.34975832,20.0,-24.922355595606835,4
44,idm38_8EF3,5,sucrose_low,0,17.73333333,4.277699978,-11.22940428,20.0,-24.961033144648827,4
45,idm38_8EF3,6,sucrose_low,0,7.6,47.38297669,4.92681905,7.633333333,17.01047307240486,4
46,idm38_8EF3,7,sucrose_low,0,19.66666667,1.56093949,-8.38512366,20.0,-24.773020964491895,4
47,idm38_8EF3,8,sucrose_low,0,18.53333333,6.205928678,-10.75104456,20.0,-23.515760428676167,4
48,idm38_8EF3,9,sucrose_low,0,20.0,5.729812517,-6.775427214,20.0,-21.004247464661432,4
49,idm38_8EF3,10,sucrose_low,0,14.66666667,57.78065932,-5.75971827,14.4,13.556798920486132,4
30,idm38_8F63,1,sucrose_low,2,3.8,39.64210943,72.62452791,3.9,66.67461224697479,3
31,idm38_8F63,2,sucrose_low,2,5.066666667,45.72190021,70.62155095,5.233333333,66.09898413267673,3
32,idm38_8F63,3,sucrose_low,0,13.06666667,48.8976894,-10.38892622,13.63333333,-11.377995423192088,3
33,idm38_8F63,4,sucrose_low,1,19.8,2.016514562,-6.663402446,20.0,-22.895715414588402,3
34,idm38_8F63,5,sucrose_low,0,5.933333333,40.60387529,-5.337507739,2.8,-6.246320759318254,3
35,idm38_8F63,6,sucrose_low,0,19.53333333,3.640452671,-11.95147268,20.0,-27.37527150336544,3
36,idm38_8F63,7,sucrose_low,0,14.3,35.00071523,-6.82891619,14.66666667,-12.255454925938194,3
37,idm38_8F63,8,sucrose_low,0,18.06666667,36.48949218,-7.761789985,17.73333333,-13.746871051576866,3
38,idm38_8F63,9,sucrose_low,0,19.96666667,1.869430815,-7.420746335,20.0,-23.692262352941597,3
39,idm38_8F63,10,sucrose_low,0,16.13333333,37.21946297,-10.10517976,16.0,-15.183704948730696,3
10,idm38_9053,1,sucrose_low,2,1.433333333,72.35431079,93.73396767,1.866666667,-49.01395802994623,6
11,idm38_9053,2,sucrose_low,2,3.133333333,77.01616291,94.23590525,3.6,-50.86956009262214,6
12,idm38_9053,3,sucrose_low,0,17.63333333,20.39282726,-10.97069584,17.83333333,69.77328957782481,6
13,idm38_9053,4,sucrose_low,2,0.0,82.64866947,95.057024,1.866666667,-54.30760133150442,6
14,idm38_9053,5,sucrose_low,2,4.266666667,70.3377523,97.877144,4.2,-51.4462570464602,6
15,idm38_9053,6,sucrose_low,0,7.433333333,57.43468962,12.96846004,7.3,31.54429304329355,6
16,idm38_9053,7,sucrose_low,0,18.5,10.86801974,-10.94244182,20.0,73.71307082194227,6
17,idm38_9053,8,sucrose_low,2,0.7,51.93621022,76.38382646,4.666666667,-25.20052413187306,6
18,idm38_9053,9,sucrose_low,2,6.7,55.18172897,42.73426944,6.766666667,5.119923140698386,6
19,idm38_9053,10,sucrose_low,2,8.7,58.84984256,-8.333585056,8.8,50.687324048646865,6
0,idm38_9433,1,sucrose_low,2,1.433333333,41.21817545,100.3920314,1.533333333,66.22012374655536,4
1,idm38_9433,2,sucrose_low,2,0.0,54.00553629,17.43556064,7.466666667,-16.335066481385375,4
2,idm38_9433,3,sucrose_low,2,0.0,60.27670924,29.50232144,7.333333333,-4.323904378061719,4
3,idm38_9433,4,sucrose_low,0,10.9,51.94456075,0.014729224,9.266666667,-34.81240496089714,4
4,idm38_9433,5,sucrose_low,0,11.83333333,61.94625074,-12.81472859,12.63333333,-47.87383288066327,4
5,idm38_9433,6,sucrose_low,2,7.933333333,68.53902319,8.074288447,7.666666667,-26.25391008631283,4
6,idm38_9433,7,sucrose_low,2,2.8,61.58409331,81.01271053,2.9,46.901421282416415,4
7,idm38_9433,8,sucrose_low,0,20.0,7.56879583,-5.234219498,20.0,-42.22235864623772,4
8,idm38_9433,9,sucrose_low,2,2.933333333,44.8512798,104.0212421,2.633333333,69.59391222751076,4
9,idm38_9433,10,sucrose_low,2,5.566666667,53.23527692,23.32982929,6.3,-10.893979822924464,4
20,idm38_94C3,1,sucrose_low,2,0.0,82.96205429,89.87342588,3.1,89.08585414308367,3
21,idm38_94C3,2,sucrose_low,2,7.7,84.55170537,-6.913710941,8.166666667,3.4718446070372826,3
22,idm38_94C3,3,sucrose_low,0,8.166666667,67.84564519,-8.380989864,8.3,-5.326448796852868,3
23,idm38_94C3,4,sucrose_low,0,19.3,44.29658636,-10.99674652,19.36666667,-21.27239718603419,3
24,idm38_94C3,5,sucrose_low,1,13.7,60.6593144,-7.542526367,13.73333333,-9.361021879988128,3
25,idm38_94C3,6,sucrose_low,0,13.53333333,64.66051199,-9.722767716,17.46666667,-9.996596827310764,3
26,idm38_94C3,7,sucrose_low,0,5.333333333,39.54736413,40.69563694,5.1,25.833730011702894,3
27,idm38_94C3,8,sucrose_low,0,16.56666667,49.47537128,0.401221561,16.33333333,-8.19739444416386,3
28,idm38_94C3,9,sucrose_low,0,12.26666667,21.86245583,-7.439336316,14.06666667,-26.292134632315026,3
29,idm38_94C3,10,sucrose_low,0,19.76666667,3.244277616,-9.088875282,20.0,-37.94543499515906,3
130,idm39_7963,1,no_low,2,2.166666667,78.92876135,97.22221549,1.9,-27.60672264825571,8
131,idm39_7963,2,no_low,2,4.533333333,100.1025879,95.79140863,4.433333333,-30.481696804141883,8
132,idm39_7963,3,no_low,2,3.833333333,91.67261444,99.49797637,3.833333333,-32.36761310000898,8
133,idm39_7963,4,no_low,2,0.0,89.70411722,95.16612005,5.766666667,-27.72427862081742,8
134,idm39_7963,5,no_low,2,0.0,83.32142125,96.35459192,2.533333333,-27.71335999786243,8
135,idm39_7963,6,no_low,2,3.866666667,93.13232171,99.50705822,4.033333333,-32.67304302706887,8
136,idm39_7963,7,no_low,2,0.0,82.25822195,97.73415239,5.566666667,-28.666308224202034,8
137,idm39_7963,8,no_low,2,3.4,61.74714071,12.54416549,7.4,58.960105515606635,8
138,idm39_7963,9,no_low,2,0.0,69.583426,-0.850051354,9.866666667,70.41187083808525,8
139,idm39_7963,10,no_low,0,10.46666667,70.47073646,-8.312556502,10.86666667,77.86104606866535,8
120,idm39_7B53,1,no_low,2,7.733333333,67.29564214,13.57991758,7.566666667,42.80645898086023,5
121,idm39_7B53,2,no_low,2,2.066666667,56.96717931,91.4122176,1.766666667,-35.211434746865706,5
122,idm39_7B53,3,no_low,2,0.0,74.00278542,92.97409665,5.833333333,-36.94679299203678,5
123,idm39_7B53,4,no_low,2,4.866666667,62.85134792,17.95215734,4.966666667,38.28870281344459,5
124,idm39_7B53,5,no_low,2,3.6,55.24289352,92.73518133,1.733333333,-36.4437068473415,5
125,idm39_7B53,6,no_low,2,0.0,42.3708638,71.07473779,5.266666667,-14.739046994988762,5
126,idm39_7B53,7,no_low,2,4.533333333,66.20478729,63.27372746,5.633333333,-7.000509135755976,5
127,idm39_7B53,8,no_low,2,3.766666667,62.31771072,94.21350211,3.666666667,-37.939251510001405,5
128,idm39_7B53,9,no_low,2,7.366666667,57.25508616,5.090803151,7.2,51.36930294957999,5
129,idm39_7B53,10,no_low,2,2.0,51.16099041,20.34140784,1.766666667,35.816277483105424,5
100,idm39_8D53,1,no_low,2,5.0,42.76173295,92.53622542,2.666666667,-29.075518482532008,4
101,idm39_8D53,2,no_low,2,4.1,72.05700117,100.6166366,4.133333333,-39.15332911627434,4
102,idm39_8D53,3,no_low,2,3.833333333,59.86618069,91.881053,5.366666667,-29.55607426830361,4
103,idm39_8D53,4,no_low,2,6.366666667,57.36099562,53.26345752,6.666666667,9.166767990642814,4
104,idm39_8D53,5,no_low,2,3.666666667,55.73782767,-9.688287629,8.2,72.09077546179364,4
105,idm39_8D53,6,no_low,2,0.866666667,49.53796684,23.02758627,1.3,39.72198462316258,4
106,idm39_8D53,7,no_low,2,1.133333333,50.77885636,73.75909124,0.966666667,-10.962964955097132,4
107,idm39_8D53,8,no_low,2,3.533333333,52.38346523,11.37150335,3.133333333,51.196845535973814,4
108,idm39_8D53,9,no_low,3,0.4,65.20705481,108.6253088,0.233333333,-46.767064739032904,4
109,idm39_8D53,10,no_low,2,3.666666667,49.69976921,79.61718119,3.466666667,-16.661422050332845,4
110,idm39_8F93,1,no_low,2,3.366666667,31.58253621,72.09559473,3.2,57.54890219757843,4
111,idm39_8F93,2,no_low,2,4.966666667,30.39567037,5.749070388,4.866666667,-8.550037490668943,4
112,idm39_8F93,3,no_low,2,3.633333333,26.0667587,61.38239675,4.1,46.70333610307159,4
113,idm39_8F93,4,no_low,1,2.166666667,31.85409989,1.666762618,13.46666667,-13.286674633349746,4
114,idm39_8F93,5,no_low,0,14.2,18.54848368,-10.04359562,14.3,-26.13030619769649,4
115,idm39_8F93,6,no_low,1,3.4,28.35924992,-3.356079263,11.6,-18.22915258289002,4
116,idm39_8F93,7,no_low,0,10.6,30.68660827,-6.335157157,10.9,-21.597377558597486,4
117,idm39_8F93,8,no_low,0,4.733333333,31.27252861,20.68509713,5.966666667,6.144820332020132,4
118,idm39_8F93,9,no_low,1,8.5,30.88042433,2.780489246,6.833333333,-11.960766500735442,4
119,idm39_8F93,10,no_low,2,9.166666667,33.93380879,4.132865278,7.333333333,-10.642743668732004,4
222,idm40_07D3,1,water_low,0,8.766666667,36.33696277,-12.17129266,9.466666667,-6.867842733378309,8
223,idm40_07D3,2,water_low,1,13.0,22.48195272,-8.197032251,20.0,9.074171990461101,8
224,idm40_07D3,3,water_low,2,6.833333333,40.48669684,-1.532804373,7.666666667,-12.97295152998694,8
225,idm40_07D3,4,water_low,0,13.2,39.30886506,-11.77198039,14.0,-7.475886976129002,8
226,idm40_07D3,5,water_low,2,6.533333333,34.29196078,-0.219595912,8.2,-7.320768066021317,8
227,idm40_07D3,6,water_low,0,13.36666667,13.98037912,-11.50177148,7.866666667,14.625712275894292,8
228,idm40_07D3,7,water_low,2,8.666666667,40.88832705,-9.491052602,8.733333333,-11.685241068453823,8
229,idm40_07D3,8,water_low,0,9.2,28.99588225,-7.197699509,9.5,-0.5148505492840293,8
230,idm40_07D3,9,water_low,0,18.86666667,4.387281282,-10.77067449,20.0,27.726754358876377,8
231,idm40_07D3,10,water_low,0,8.933333333,34.07570441,-10.97585088,10.63333333,-4.589097701978302,8
202,idm40_72F3,1,water_low,2,0.0,52.99670145,97.96016428,1.633333333,-49.07984947576335,4
203,idm40_72F3,2,water_low,2,8.866666667,57.02609368,-9.121736036,8.6,58.319977948891086,4
