,trial_key,up_attention,up_attention_T,up_rotat,up_rotat_T,stratch,stratch_T,lookup,lookup_T,freeze,freeze_T,head_rotation,head_rotation_T,reward,risk,mice_id,num_stim,condition,total_frame,up_attention%,up_rotat%
0,non_high_idm43_0783_1,0,0.0,11,2.0,0,0.0,0,0.0,0,0.0,11,2.0,non,high,idm43_0783,1,non_high,300,0.0,3.6666666666666665
1,non_high_idm43_0783_2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,non,high,idm43_0783,2,non_high,240,0.0,0.0
2,non_high_idm43_0783_3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,non,high,idm43_0783,3,non_high,300,0.0,0.0
3,non_high_idm43_7993_1,18,1.0,18,1.0,18,1.0,0,0.0,0,0.0,0,0.0,non,high,idm43_7993,1,non_high,300,6.0,6.0
4,non_high_idm43_7993_2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,non,high,idm43_7993,2,non_high,300,0.0,0.0
5,non_high_idm43_7993_3,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,7,1.0,non,high,idm43_7993,3,non_high,300,0.0,2.3333333333333335
6,non_high_idm43_7C63_1,31,1.0,38,2.0,31,1.0,0,0.0,0,0.0,7,1.0,non,high,idm43_7C63,1,non_high,246,12.601626016260163,15.447154471544716
7,non_high_idm43_7C63_2,0,0.0,11,2.0,0,0.0,0,0.0,0,0.0,11,2.0,non,high,idm43_7C63,2,non_high,219,0.0,5.0228310502283104
8,non_high_idm43_7C63_3,4,1.0,10,2.0,0,0.0,4,1.0,0,0.0,6,1.0,non,high,idm43_7C63,3,non_high,154,2.5974025974025974,6.493506493506493
9,non_high_idm43_7E53_1,4,1.0,4,1.0,0,0.0,4,1.0,0,0.0,0,0.0,non,high,idm43_7E53,1,non_high,300,1.3333333333333335,1.3333333333333335
10,non_high_idm43_7E53_2,31,2.0,31,2.0,15,1.0,16,1.0,0,0.0,0,0.0,non,high,idm43_7E53,2,non_high,300,10.333333333333334,10.333333333333334
11,non_high_idm43_7E53_3,27,1.0,27,1.0,27,1.0,0,0.0,0,0.0,0,0.0,non,high,idm43_7E53,3,non_high,300,9.0,9.0
