mice_id,risk,reward,experiment,drink(ml)
IDM42_F133,high,water,explore,0.132
IDM42_7393,high,water,explore,0.007
IDM42_7363,high,water,explore,0.004
IDM42_7DF3,high,water,explore,0
IDM42_F1C3,high,water,explore,0
IDM42_F133,high,water,test,0
IDM42_7393,high,water,test,0.001
IDM42_7363,high,water,test,0
IDM42_7DF3,high,water,test,0
IDM42_F1C3,high,water,test,0
IDM41_C8C3,high,sucrose,explore,1.282
IDM41_7C93,high,sucrose,explore,1.856
IDM41_08E3,high,sucrose,explore,0.297
IDM41_7A33,high,sucrose,explore,3.287
IDM41_CE93,high,sucrose,explore,1.29
IDM41_C8C3,high,sucrose,test,2.455
IDM41_7C93,high,sucrose,test,0.126
IDM41_08E3,high,sucrose,test,0
IDM41_7A33,high,sucrose,test,0
IDM41_CE93,high,sucrose,test,0
IDM40_8DA3,low,water,explore,0.007
IDM40_CDC3,low,water,explore,0.056
IDM40_72F3,low,water,explore,0.012
IDM40_07D3,low,water,explore,0
IDM40_78F3,low,water,explore,0.002
IDM40_8DA3,low,water,test,0.038
IDM40_CDC3,low,water,test,0.009
IDM40_72F3,low,water,test,0.007
IDM40_07D3,low,water,test,0.048
IDM40_78F3,low,water,test,0
IDM38_9433,low,sucrose,explore,1.234
IDM38_94C3,low,sucrose,explore,0.792
IDM38_8EF3,low,sucrose,explore,1.396
IDM38_8F63,low,sucrose,explore,0.01
IDM38_9053,low,sucrose,explore,1.457
IDM38_9433,low,sucrose,test,1.302
IDM38_94C3,low,sucrose,test,0.92
IDM38_8EF3,low,sucrose,test,1.113
IDM38_8F63,low,sucrose,test,0.415
IDM38_9053,low,sucrose,test,1.347
