,d_0873_day1_explore,s_85C3_day1_explore,d_0873_day2_explore,s_85C3_day2_explore,d_0873_day3_explore,s_85C3_day3_explore,d_0873_day4_test,s_85C3_day4_test,d_0873_day5_test,s_85C3_day5_test,d_0873_day6_aftermath,s_85C3_day6_aftermath,d_0873_day7_aftermath,s_85C3_day7_aftermath
total,32810.0,35851.0,36596.0,49991.0,33982.0,61919.0,36007.0,61107.0,29230.0,68757.0,40618.0,82413.0,21730.0,30549.0
entri_times,10.0,7.0,15.0,31.0,11.0,39.0,20.0,39.0,10.0,59.0,17.0,52.0,6.0,18.0
mean_entri_duration,3281.0,5121.571428571428,2439.733333333333,1612.6129032258063,3089.2727272727275,1587.6666666666667,1800.35,1566.8461538461538,2923.0,1165.3728813559321,2389.294117647059,1584.8653846153845,3621.6666666666665,1697.1666666666667
risk_f_80,15209.0,15908.0,18481.0,22763.0,17290.0,32147.0,14624.0,31016.0,9904.0,31561.0,20228.0,49874.0,12393.0,20680.0
idx_risk_80,0.463547698872295,0.4437254190957017,0.505000546507815,0.45534196155307954,0.5087987758224942,0.5191782813029926,0.40614324992362594,0.5075686909846663,0.33882996920971603,0.4590223540875838,0.49800581023191687,0.6051715142028563,0.5703175333640129,0.6769452355232577
risk_f_90,12412.0,13021.0,15561.0,18025.0,13786.0,24093.0,12424.0,23554.0,7762.0,20282.0,15920.0,35274.0,11310.0,15591.0
idx_risk_90,0.3782992989942091,0.363197679283702,0.4252104055087988,0.3605649016823028,0.40568536283915013,0.38910512120673785,0.3450440192184853,0.3854550215196295,0.2655490933971947,0.29498087467457856,0.3919444581220149,0.42801499763386847,0.5204786010124253,0.5103604045958952
risk_f_85,14404.0,15270.0,17480.0,21151.0,15837.0,30639.0,13792.0,27765.0,8898.0,27783.0,18742.0,46501.0,11920.0,19530.0
idx_risk_85,0.4390124961901859,0.42592954171431757,0.4776478303639742,0.4230961573083155,0.46604084515331645,0.49482388281464496,0.38303663176604547,0.45436693013893664,0.3044132740335272,0.40407522143199964,0.46142104485695995,0.5642435052722264,0.548550391164289,0.639300795443386
idx_safe,0.20380981408107285,0.1884187330897325,0.11883812438517871,0.11564081534676242,0.10061208875286917,0.08320547812464671,0.22356763962562834,0.10424337637259234,0.330448169688676,0.11654086129412278,0.15360185139593283,0.0747940252144686,0.12439024390243902,0.06278437919408164
