,d_8153_day1_explore,s_84A3_day1_explore,d_8153_day2_explore,s_84A3_day2_explore,d_8153_day3_explore,s_84A3_day3_explore,d_8153_day4_test,s_84A3_day4_test,d_8153_day5_test,s_84A3_day5_test,d_8153_day6_aftermath,s_84A3_day6_aftermath,d_8153_day7_aftermath,s_84A3_day7_aftermath
total,24639.0,27179.0,24684.0,48887.0,45818.0,73899.0,76842.0,75429.0,70480.0,64955.0,94114.0,70078.0,24490.0,8797.0
entri_times,20.0,9.0,20.0,14.0,34.0,23.0,45.0,28.0,34.0,25.0,38.0,26.0,6.0,4.0
mean_entri_duration,1231.95,3019.8888888888887,1234.2,3491.9285714285716,1347.5882352941176,3213.0,1707.6,2693.8928571428573,2072.9411764705883,2598.2,2476.684210526316,2695.3076923076924,4081.6666666666665,2199.25
risk_f_80,9688.0,9852.0,13106.0,25218.0,22710.0,33134.0,36433.0,39340.0,40056.0,30806.0,43481.0,36012.0,17542.0,5810.0
idx_risk_80,0.39319777588376154,0.3624857426689724,0.5309512234645924,0.5158426575572238,0.4956567287965428,0.44836871946846374,0.4741287316831941,0.5215500669503772,0.5683314415437003,0.47426680009237165,0.46200352763669594,0.5138845286680556,0.7162923642302981,0.6604524269637376
risk_f_90,6654.0,8011.0,10024.0,16872.0,16489.0,24218.0,19148.0,27066.0,26347.0,22146.0,24501.0,23789.0,13032.0,5033.0
idx_risk_90,0.2700596615122367,0.29474962287059864,0.40609301571868417,0.3451224251846094,0.3598803963507792,0.32771756045413336,0.24918664272142838,0.35882750666189395,0.373822360953462,0.3409437302748056,0.26033321291200034,0.3394645965923685,0.5321355655369538,0.572126861430033
risk_f_85,8635.0,9476.0,12512.0,22346.0,20629.0,30600.0,30447.0,35267.0,36747.0,27478.0,37705.0,31115.0,16388.0,5399.0
idx_risk_85,0.3504606518121677,0.3486515324331285,0.5068870523415978,0.45709493321332867,0.45023789776943557,0.4140786749482402,0.39622862497071915,0.4675522676954487,0.5213819523269012,0.42303132938187976,0.4006311494570415,0.44400525129141816,0.6691710902409147,0.6137319540752529
idx_safe,0.13969722797191444,0.19312704661687333,0.07356992383730351,0.06805490212121831,0.10502422628661225,0.13583404376243252,0.06288227792092865,0.10989142107147118,0.02996594778660613,0.08676776229697483,0.07324096308731963,0.0534832615086047,0.029808084932625562,0.05683755825849721
